Holes,Strengths
22o,0.45
32o,0.19
32s,0.29
33o,0.495833
42o,0.2
42s,0.3
43o,0.241667
43s,0.341667
44o,0.541667
52o,0.21
52s,0.31
53o,0.251667
53s,0.351667
54o,0.293333
54s,0.393333
55o,0.5875
62o,0.22
62s,0.32
63o,0.261667
63s,0.361667
64o,0.303333
64s,0.403333
65o,0.345
65s,0.445
66o,0.633333
72o,0.23
72s,0.33
73o,0.271667
73s,0.371667
74o,0.313333
74s,0.413333
75o,0.355
75s,0.455
76o,0.396667
76s,0.496667
77o,0.679167
82o,0.265
82s,0.365
83o,0.281667
83s,0.381667
84o,0.323333
84s,0.423333
85o,0.365
85s,0.465
86o,0.406667
86s,0.506667
87o,0.448333
87s,0.548333
88o,0.725
92o,0.3
92s,0.4
93o,0.316667
93s,0.416667
94o,0.333333
94s,0.433333
95o,0.375
95s,0.475
96o,0.416667
96s,0.516667
97o,0.458333
97s,0.558333
98o,0.5
98s,0.6
99o,0.770833
A2o,0.475
A2s,0.575
A3o,0.491667
A3s,0.591667
A4o,0.508333
A4s,0.608333
A5o,0.525
A5s,0.625
A6o,0.541667
A6s,0.641667
A7o,0.558333
A7s,0.658333
A8o,0.575
A8s,0.675
A9o,0.591667
A9s,0.691667
AAo,1.0
AJo,0.675
AJs,0.775
AKo,0.758333
AKs,0.858333
AQo,0.716667
AQs,0.816667
ATo,0.633333
ATs,0.733333
J2o,0.37
J2s,0.47
J3o,0.386667
J3s,0.486667
J4o,0.403333
J4s,0.503333
J5o,0.42
J5s,0.52
J6o,0.436667
J6s,0.536667
J7o,0.478333
J7s,0.578333
J8o,0.52
J8s,0.62
J9o,0.561667
J9s,0.661667
JJo,0.8625
JTo,0.603333
JTs,0.703333
K2o,0.44
K2s,0.54
K3o,0.456667
K3s,0.556667
K4o,0.473333
K4s,0.573333
K5o,0.49
K5s,0.59
K6o,0.506667
K6s,0.606667
K7o,0.523333
K7s,0.623333
K8o,0.54
K8s,0.64
K9o,0.581667
K9s,0.681667
KJo,0.665
KJs,0.765
KKo,0.954167
KQo,0.706667
KQs,0.806667
KTo,0.623333
KTs,0.723333
Q2o,0.405
Q2s,0.505
Q3o,0.421667
Q3s,0.521667
Q4o,0.438333
Q4s,0.538333
Q5o,0.455
Q5s,0.555
Q6o,0.471667
Q6s,0.571667
Q7o,0.488333
Q7s,0.588333
Q8o,0.53
Q8s,0.63
Q9o,0.571667
Q9s,0.671667
QJo,0.655
QJs,0.755
QQo,0.908333
QTo,0.613333
QTs,0.713333
T2o,0.335
T2s,0.435
T3o,0.351667
T3s,0.451667
T4o,0.368333
T4s,0.468333
T5o,0.385
T5s,0.485
T6o,0.426667
T6s,0.526667
T7o,0.468333
T7s,0.568333
T8o,0.51
T8s,0.61
T9o,0.551667
T9s,0.651667
TTo,0.816667
